StartDate,EndDate,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,math_ed,domains,prop_of_time_1,consistent,session_vivid,domain_vivid,visualspatial_1,visualspatial_2,visualspatial_3,sensory_1,sensory_2,sensory_3,touch,touch_1_TEXT,touch_2_TEXT,do_touch,do_touch_1_TEXT,do_touch_2_TEXT,resist_mvmt_3,zoom_2,dynamic_1,causal,causal_1_TEXT,causal_2_TEXT,constraint,constraint_1_TEXT,constraint_2_TEXT,symbols,symbols_1_TEXT,symbols_2_TEXT,symbolicvis,symbolicvis_1_TEXT,symbolicvis_2_TEXT,draw,draw_1_TEXT,draw_2_TEXT,draw_for,challenges,describe,appear,appear_1_TEXT,fade,fade_1_TEXT,stay_present,stay_present_1_TEXT,stay_present_2_TEXT,stop_seeing,stop_seeing_1_TEXT,stop_seeing_2_TEXT,control_1,annoyed,annoyed_1_TEXT,annoyed_2_TEXT,noise_noisy_1,people_company_1,surface,surface_need_1,hands_active_1,light_bright_1,space_full_1,object_real_4,Q50_4,build_see_1,platonist_1,vis_domain,vis_domain_3_TEXT,vis_domain_5_TEXT,Q35_3_TEXT - Parent Topics,Q35_3_TEXT - Topics
Start Date,End Date,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,What is your highest level of math education?,"Which math domain(s) are you very expert in, or feel most comfortable with?","Some people engage in visualization when they work in comfortable or expert domains. These visualizations might be of weird or special shapes, forms, or symbolic transformations that you would not run across outside that domain or in the everyday world (e.g. the cardinality of the reals, the Sierpinski triangle, high dimensional spheres). Although ""visualization"" implies the sense of sight, we intend it in this context to mean any form of imagery, using any sense modality, or set of sense modalities. 

Consider a session or period when you are doing mathematics in a domain you feel comfortable with. 
Over the course of such a math session, what proportion of the time do you spend working with a visualization?",How consistently do you visualize while doing math?,"Across a math session, visualizations typically become...","Over an extended time period where I proceed from being a novice to an expert within a particular domain, my visualizations typically become...",How often do the objects / things / symbols you visualize have: - color,How often do the objects / things / symbols you visualize have: - shape,How often do the objects / things / symbols you visualize have: - location (you could point at them),How often are the objects / things / symbols you visualize: - tactile,How often are the objects / things / symbols you visualize: - auditory,How often are the objects / things / symbols you visualize: - olfactory,"Could you touch the objects / things / symbols you visualize? 
(Feel welcome to elaborate in the text box.) - Selected Choice","Could you touch the objects / things / symbols you visualize? 
(Feel welcome to elaborate in the text box.) - Yes - Text","Could you touch the objects / things / symbols you visualize? 
(Feel welcome to elaborate in the text box.) - No - Text","If/when you can touch the objects / things / symbols you visualize, do you? (If yes, please explain in the text box.) - Selected Choice","If/when you can touch the objects / things / symbols you visualize, do you? (If yes, please explain in the text box.) - Yes - Text","If/when you can touch the objects / things / symbols you visualize, do you? (If yes, please explain in the text box.) - No - Text",How often do the objects / things / symbols you visualize ever resist movement?,How often can you zoom in or zoom out on the objects / things / symbols you visualize (e.g. can you move the visualization farther or closer)?,"When you picture objects / things / symbols, how often are they typically static or dynamic (e.g.moves and/or deforms in some way)?",Do you have any causal control over the dynamics of the objects / things / symbols? - Selected Choice,Do you have any causal control over the dynamics of the objects / things / symbols? - Yes - Text,Do you have any causal control over the dynamics of the objects / things / symbols? - No - Text,"If you can make the visualizations do things, do you experience any kind of constraints in the movement?  
(If yes, feel welcome to elaborate in the text box.) - Selected Choice","If you can make the visualizations do things, do you experience any kind of constraints in the movement?  
(If yes, feel welcome to elaborate in the text box.) - Yes - Text","If you can make the visualizations do things, do you experience any kind of constraints in the movement?  
(If yes, feel welcome to elaborate in the text box.) - No - Text","Do the visualizations ever contain symbols? 
(Feel welcome to elaborate in the text box.) - Selected Choice","Do the visualizations ever contain symbols? 
(Feel welcome to elaborate in the text box.) - Yes - Text","Do the visualizations ever contain symbols? 
(Feel welcome to elaborate in the text box.) - No - Text","Do you ever picture visualizations that are completely symbolic?
(Feel welcome to elaborate in the text box.) - Selected Choice","Do you ever picture visualizations that are completely symbolic?
(Feel welcome to elaborate in the text box.) - Yes - Text","Do you ever picture visualizations that are completely symbolic?
(Feel welcome to elaborate in the text box.) - No - Text","Could you draw these visualizations more or less exactly if you needed to? 
(Feel welcome to elaborate in the text box.) - Selected Choice","Could you draw these visualizations more or less exactly if you needed to? 
(Feel welcome to elaborate in the text box.) - Yes - Text","Could you draw these visualizations more or less exactly if you needed to? 
(Feel welcome to elaborate in the text box.) - No - Text","When you draw pictures based on these visualizations, which feels true for you?","When you draw pictures based on these visualizations, which of these challenges come up regularly (select all that apply)?",Describe one of these visualizations:,"Do these visualizations ever appear when you didn't mean for them to? 
(If yes, feel welcome to elaborate in the text box.) - Selected Choice","Do these visualizations ever appear when you didn't mean for them to? 
(If yes, feel welcome to elaborate in the text box.) - Yes - Text","Do these visualizations ever fade or disappear when you didn't mean for them to? 
(If yes, feel welcome to elaborate in the text box.) - Selected Choice","Do these visualizations ever fade or disappear when you didn't mean for them to? 
(If yes, feel welcome to elaborate in the text box.) - Yes - Text","Do these visualizations ever remain present after you are done with them? 
(Feel welcome to elaborate in the text box.) - Selected Choice","Do these visualizations ever remain present after you are done with them? 
(Feel welcome to elaborate in the text box.) - Yes - Text","Do these visualizations ever remain present after you are done with them? 
(Feel welcome to elaborate in the text box.) - No - Text","Is it ever the case that you cannot stop seeing these visualizations even if there are other things you need to think about? 
(Feel welcome to elaborate in the text box.) - Selected Choice","Is it ever the case that you cannot stop seeing these visualizations even if there are other things you need to think about? 
(Feel welcome to elaborate in the text box.) - Yes - Text","Is it ever the case that you cannot stop seeing these visualizations even if there are other things you need to think about? 
(Feel welcome to elaborate in the text box.) - No - Text",Can you make the visualizations go away if they are persisting? or does their presence feel outside of your control?,"Are you ever annoyed by the visualizations? 
(Feel welcome to elaborate in the text box.) - Selected Choice","Are you ever annoyed by the visualizations? 
(Feel welcome to elaborate in the text box.) - Yes - Text","Are you ever annoyed by the visualizations? 
(Feel welcome to elaborate in the text box.) - No - Text",To what degree does noise in the room impact your ability to visualize:,To what degree does the presence of others impact your ability to visualize:,"Describe your preferred writing surface for doing mathematics (e.g. chalkboard/whiteboard, notepad):",To what degree do you need this preferred writing surface when you do mathematics:,To what degree does the status of your hands impact your ability to visualize?,To what degree does lighting in the room impact your ability to visualize:,To what degree does the number and placement of things in your environment impact your ability to visualize:,"Some objects are impossible to draw accurately (e.g. Sierpinski triangle). 
 

To what extent do you think the impossible-to-build objects / things / symbols you visualize are, in some sense, real?","To what extent do you think the impossible-to-build objects / things / symbols you visualize exist in the physical world, in some sense?","When you visualize, does it feel more like you are building the objects or like you are seeing things that are ""out there""?","Platonism about mathematics (or mathematical platonism) is the metaphysical view that there are abstract mathematical objects whose existence is independent of us and our language, thought, and practices. Just as electrons and planets exist independently of us, so do numbers and sets.

Do you agree with this central tenet of mathematical Platonism? - 1","When you visualize in these ways, which feels true for you? (This is the last question.) - Selected Choice","When you visualize in these ways, which feels true for you? (This is the last question.) - I visualize when doing all kinds of things (please list other domains below), but the way I visualize when doing math feels special. - Text","When you visualize in these ways, which feels true for you? (This is the last question.) - I visualize when doing all kinds of things (please list other domains below), but the way I visualize when doing math math doesn't feel special. - Text",Q35_3_TEXT - Parent Topics,Q35_3_TEXT - Topics
"{""ImportId"":""startDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""endDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""_recordId""}","{""ImportId"":""QID52""}","{""ImportId"":""QID53_TEXT""}","{""ImportId"":""QID54_1""}","{""ImportId"":""QID55""}","{""ImportId"":""QID56""}","{""ImportId"":""QID57""}","{""ImportId"":""QID60_1""}","{""ImportId"":""QID60_2""}","{""ImportId"":""QID60_3""}","{""ImportId"":""QID61_1""}","{""ImportId"":""QID61_2""}","{""ImportId"":""QID61_3""}","{""ImportId"":""QID11""}","{""ImportId"":""QID11_1_TEXT""}","{""ImportId"":""QID11_2_TEXT""}","{""ImportId"":""QID12""}","{""ImportId"":""QID12_1_TEXT""}","{""ImportId"":""QID12_2_TEXT""}","{""ImportId"":""QID13_3""}","{""ImportId"":""QID14_2""}","{""ImportId"":""QID15_1""}","{""ImportId"":""QID16""}","{""ImportId"":""QID16_1_TEXT""}","{""ImportId"":""QID16_2_TEXT""}","{""ImportId"":""QID17""}","{""ImportId"":""QID17_1_TEXT""}","{""ImportId"":""QID17_2_TEXT""}","{""ImportId"":""QID18""}","{""ImportId"":""QID18_1_TEXT""}","{""ImportId"":""QID18_2_TEXT""}","{""ImportId"":""QID65""}","{""ImportId"":""QID65_1_TEXT""}","{""ImportId"":""QID65_2_TEXT""}","{""ImportId"":""QID19""}","{""ImportId"":""QID19_1_TEXT""}","{""ImportId"":""QID19_2_TEXT""}","{""ImportId"":""QID20""}","{""ImportId"":""QID22""}","{""ImportId"":""QID66_TEXT""}","{""ImportId"":""QID23""}","{""ImportId"":""QID23_1_TEXT""}","{""ImportId"":""QID25""}","{""ImportId"":""QID25_1_TEXT""}","{""ImportId"":""QID26""}","{""ImportId"":""QID26_1_TEXT""}","{""ImportId"":""QID26_2_TEXT""}","{""ImportId"":""QID27""}","{""ImportId"":""QID27_1_TEXT""}","{""ImportId"":""QID27_2_TEXT""}","{""ImportId"":""QID30_1""}","{""ImportId"":""QID28""}","{""ImportId"":""QID28_1_TEXT""}","{""ImportId"":""QID28_2_TEXT""}","{""ImportId"":""QID32_1""}","{""ImportId"":""QID33_1""}","{""ImportId"":""QID35_TEXT""}","{""ImportId"":""QID68_1""}","{""ImportId"":""QID69_1""}","{""ImportId"":""QID37_1""}","{""ImportId"":""QID38_1""}","{""ImportId"":""QID59_4""}","{""ImportId"":""QID70_4""}","{""ImportId"":""QID49_1""}","{""ImportId"":""QID51_1""}","{""ImportId"":""QID39""}","{""ImportId"":""QID39_3_TEXT""}","{""ImportId"":""QID39_5_TEXT""}","{""ImportId"":""QID39_3_TEXT_f47bd872627f40e9bea9f072ParTopics""}","{""ImportId"":""QID39_3_TEXT_f47bd872627f40e9bea9f072Topics""}"
9/15/20 5:14,9/15/20 5:32,100,1091,TRUE,9/15/20 5:32,R_2pXnfD0PNVjEKaR,High School Math,,25,Some sessions involve more visualization than others,More vivid,More  vivid,,,,27,0,0,No,,,,,,21,0,86,Yes,,,Yes,,,Yes,,,,,,No,,,I draw them for myself (e.g. to think through or clarify components of a problem).,,,No,,Yes,,Yes,,,No,,,,No,,,0,,,,,0,,100,,0,,,,,,
3/10/21 19:41,3/10/21 19:51,7,560,FALSE,3/17/21 19:51,R_3KTn8jBlwFCRLFm,Ph.D. in Math,"Set Theory, Logic, Analysis, Abstract Algebra",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/7/21 20:57,4/7/21 20:57,2,11,FALSE,4/14/21 20:57,R_DvjORfeECNvmxq1,Some Graduate Coursework,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/1/21 16:11,8/1/21 16:19,100,480,TRUE,8/1/21 16:19,R_1HbZd8iFzpws3hf,Some Undergraduate Coursework,Theory of Computation,40,Some sessions involve more visualization than others,It depends on where I am in a reasoning process,More  vivid,33,100,,100,0,0,No,,,,,,12,0,80,Yes,,,Yes,,,No,,,No,,,No,,,I draw them for other people (e.g. to communicate my perspective to others).,"My drawing skill is too limited,The object / thing / symbol carries 'structure' that wouldn't persist in a drawing,The object / thing / symbol carries 'dynamics' that wouldn't persist in a drawing",,No,,Yes,if i become distracted the structure of a problem becomes fuzzy and hard to reconstruct ,No,,,Yes,,,74,No,,,0,0,Whiteboard Tablet,0,0,0,0,43,0,0,,"I visualize when doing all kinds of things (please list other domains below), but the way I visualize when doing math math doesn't feel special.",,,,
8/1/21 16:14,8/1/21 16:23,100,544,TRUE,8/1/21 16:23,R_3F4ETrlBhyRj3ne,Some Undergraduate Coursework,"category theory, type theory, logic, computer science, algorithms",10,Some sessions involve more visualization than others,It just depends,It just depends,,47,100,49,0,0,Yes,,,No,,,34,0,0,Yes,,,No,,,No,,,No,,,Yes,,,I draw them for myself (e.g. to think through or clarify components of a problem).,"My drawing skill is too limited,I'm afraid the object / thing / symbol  would change if I tried to draw it too soon","I like to think of spaces as like rubbery/elastic things you can push and pull. Especially higher order things like derivative, integration or recurrence relations have a push/pull and feeling of change as you push/pull parts of things",No,,Yes,I'm not so good at visualization,No,,,No,,,100,No,,,0,0,Notepad,0,0,0,0,51,0,0,,"I visualize when doing all kinds of things (please list other domains below), but the way I visualize when doing math math doesn't feel special.",,When I'm making a creative sketch it doesn't feel especially different concentrating on a person or a bird than a graph of some sort,,
8/1/21 16:16,8/1/21 16:23,100,450,TRUE,8/1/21 16:23,R_cvj33sVIW0OO2yt,Ph.D. in Math,"Commutative algebra, category theory",33,"Some sessions involve a lot a lot of visualization, others may involve none at all",It depends on where I am in a reasoning process,More  vivid,32,91,43,27,8,0,Yes,,,No,,,33,0,24,Yes,,,Yes,,,Yes,,,No,,,Yes,,,Both - I draw them for myself and for others.,"The object / thing / symbol has many dimensions,The object / thing / symbol  wouldn't 'fit' in the correct spaces / would require deformation,The object / thing / symbol carries 'structure' that wouldn't persist in a drawing,I may need to reshape the object / thing / symbol  in a way that would be difficult to do with a drawing of it","I recently needed to picture a collection of constraints on a finite measure space: certain subsets weren't allowed to have more than half of the total measure. I imagined those constraints as connections between the elements of the probability space, like shaded lines or triangles. That helped me realize I was working with an abstract simplicial complex.",No,,No,,No,,,No,,,93,No,,,0,0,A paper notebook,0,0,0,0,82,15,0,,"I visualize when doing all kinds of things (please list other domains below), but the way I visualize when doing math math doesn't feel special.",,"playing the piano, cooking",,
8/1/21 16:11,8/1/21 16:37,100,1563,TRUE,8/1/21 16:37,R_3nBI8wKJxqfKxvg,Masters Degree in Math,"probability theory, information theory, category theory",80,Some sessions involve more visualization than others,It just depends,More  vivid,9,100,100,0,6,0,No,,,,,,49,0,18,Yes,,,Yes,I would say the constraints are not so much something I experience as something I deliberately impose so that the visualisation makes sense,,Yes,"I sometimes solve equations in bed at night with my eyes closed, in which case I'm literally visualising all of the symbols in the equation. (This works particularly well with string diagrams in category theory, which are a kind of equation that doesn't necessarily have many symbols in the traditional sense, but I do it with traditional text-based equations as well.)",,Yes,,,Yes,"Yes for the visualisations that are symbolic or diagrammatic in nature, but not necessarily for all of the things I visualise.",,Both - I draw them for myself and for others.,The object / thing / symbol has many dimensions,"I already mentioned equations and string diagrams. I also quite often think geometrically, most often either in 3D or in a more nebulous higher-dimensional space (which in reality is really more like a 3D space standing in for a higher-dimensional space most of the time). These visualisations are usually sort of black-on-black - they're more of a texture than a colour, but I'm very aware of where things are in space. However, they tend to be more colourful and fully rendered when I'm first learning something. (Hence I had trouble answering the ""more or less vivid"" question - they're superficially more vivid at first, but as I gain expertise they become much more accurate and feel sort of tangible in a way that the early, more colourful ones don't.)",No,,No,,Yes,They persist in my memory about as well as other thoughts - probably somewhat better than non-visual abstract thoughts.,,Yes,"I would say yes, but it doesn't really bother me - they are just there in my mind and I can choose whether to focus on them or not.",,100,No,,,0,0,"iPad with apple pencil is by far the best. (Trivial to erase mistakes, you never hit the bottom of the page, it's easy to find things you wrote earlier, you can use any colour.) My second choice would either be an A3 notepad with an erasable pen or a whiteboard, depending on where I am. (Blackboards are ok too.)",0,0,0,0,77,15,0,,"I visualize when doing all kinds of things (please list other domains below), but the way I visualize when doing math feels special.","navigating, planning daily tasks, thinking about drawing some artwork, programming (especially when debugging), thinking about music, performing any spatial task (e.g. moving furniture)",,,
8/1/21 16:21,8/1/21 16:38,100,974,TRUE,8/1/21 16:38,R_1r18Y5Za5nYlEql,Ph.D. in Math,"As a math education PhD I am a generalist, but: calculus, geometry",82,"Some sessions involve a lot a lot of visualization, others may involve none at all",It just depends,More  vivid,19,84,,15,11,0,No,,,,,,21,0,88,Yes,,,Yes,Things generally live in the place they belong eg the xy plane. They stay there because why would they come out?,,Yes,"Yes, but they're decorations and don't feel like an integral part.",,No,,,Yes,,,Both - I draw them for myself and for others.,"My drawing skill is too limited,The object / thing / symbol  carries 'annotations' that wouldn't persist in a drawing,I may need to reshape the object / thing / symbol  in a way that would be difficult to do with a drawing of it",Maybe I am visualizing a geometric diagram. It's composed of lines and figures on a featureless background. Particularly important or interesting lines are perhaps a different color. I can move parts of the diagram around and see what happens as other things move in response.,No,,Yes,Or sometimes I can't resolve them at the level of detail I want or need.,No,,,No,,,100,No,,,0,0,"A sheet of blank paper or a computer screen usually, but I'm also fine with whiteboards",0,0,0,0,83,2,0,,"I visualize when doing all kinds of things (please list other domains below), but the way I visualize when doing math feels special.","I'll often picture steps in a cooking process or imagine places I need to go to accomplish things on my to-do list, but these images feel more real.",,,
